StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label,SrcPort,DstPort,DstBytes,PktSize,LabelCategory,SrcIP_Private,DstIP_Private,ProtoCategory
2025-11-25 23:53:47.061075,15.050607,tcp,192.168.1.10,17073,->,8.8.8.8,21,CON,0,0,18,1743,1214,Normal,17073,21,529,96.83333333333333,Normal,True,False,TCP
2025-11-26 00:07:36.061075,9.129426,tcp,192.168.1.100,3106,->,185.199.108.153,110,CON,0,0,12,6240,2767,Botnet,3106,110,3473,520.0,Botnet,True,False,TCP
2025-11-25 22:58:14.061075,0.847981,tcp,10.0.0.15,37805,->,10.0.0.15,80,CON,0,0,92,8992,6133,Normal,37805,80,2859,97.73913043478261,Normal,True,True,TCP
2025-11-25 22:56:34.061075,10.056154,tcp,10.0.0.5,54070,->,10.0.0.15,21,CON,0,0,98,2679,1668,Normal,54070,21,1011,27.336734693877553,Normal,True,True,TCP
2025-11-25 23:12:56.061075,12.312501,tcp,192.168.1.101,63755,->,1.1.1.1,22,CON,0,0,200,22159,8321,Botnet,63755,22,13838,110.795,Botnet,True,False,TCP
2025-11-25 22:39:08.061075,17.517787,udp,10.0.0.5,56565,->,1.1.1.1,25,INT,0,0,78,4397,1496,Normal,56565,25,2901,56.37179487179487,Normal,True,False,UDP
2025-11-26 00:06:06.061075,0.477375,tcp,192.168.1.101,6188,->,203.0.113.10,8080,CON,0,0,18,364,269,C&C,6188,8080,95,20.22222222222222,C&C,True,True,TCP
2025-11-25 23:50:55.061075,1.013057,tcp,192.168.1.30,47198,->,10.0.0.15,22,CON,0,0,6,3797,2722,Normal,47198,22,1075,632.8333333333334,Normal,True,True,TCP
2025-11-25 23:05:59.061075,3.719639,udp,192.168.1.10,25935,->,157.240.12.35,443,INT,0,0,59,6041,2478,Normal,25935,443,3563,102.38983050847457,Normal,True,False,UDP
2025-11-25 23:17:01.061075,1.721115,tcp,192.168.1.30,47018,->,157.240.12.35,21,CON,0,0,78,2867,1953,Normal,47018,21,914,36.756410256410255,Normal,True,False,TCP
2025-11-26 00:06:02.061075,1.502345,tcp,192.168.1.100,25891,->,1.1.1.1,143,CON,0,0,74,42043,30862,Botnet,25891,143,11181,568.1486486486486,Botnet,True,False,TCP
2025-11-25 22:56:28.061075,2.281386,tcp,192.168.1.30,54881,->,8.8.8.8,22,CON,0,0,41,6636,3086,Normal,54881,22,3550,161.85365853658536,Normal,True,False,TCP
2025-11-25 22:35:31.061075,7.68968,udp,192.168.1.20,14958,->,10.0.0.15,25,INT,0,0,51,7581,2859,Normal,14958,25,4722,148.64705882352942,Normal,True,True,UDP
2025-11-25 23:02:38.061075,3.610146,udp,192.168.1.20,36346,->,157.240.12.35,993,INT,0,0,96,9641,6401,Normal,36346,993,3240,100.42708333333333,Normal,True,False,UDP
2025-11-25 23:46:09.061075,0.237819,udp,10.0.0.5,10089,->,192.168.1.10,22,INT,0,0,12,835,306,Normal,10089,22,529,69.58333333333333,Normal,True,True,UDP
2025-11-25 22:47:21.061075,1.869613,tcp,192.168.1.100,5187,->,157.240.12.35,995,CON,0,0,103,25109,17295,Botnet,5187,995,7814,243.7766990291262,Botnet,True,False,TCP
2025-11-25 23:30:23.061075,14.868439,tcp,10.0.0.15,57436,->,185.199.108.153,993,CON,0,0,88,1940,1280,Normal,57436,993,660,22.045454545454547,Normal,True,False,TCP
2025-11-25 23:39:47.061075,1.652332,udp,10.0.0.15,20258,->,8.8.8.8,443,INT,0,0,11,3780,1140,Background,20258,443,2640,343.6363636363636,Background,True,False,UDP
2025-11-26 00:05:04.061075,0.513887,tcp,192.168.1.30,34295,->,10.0.0.5,53,CON,0,0,81,4953,3564,Normal,34295,53,1389,61.148148148148145,Normal,True,True,TCP
