StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label,SrcPort,DstPort,DstBytes,PktSize,LabelCategory,SrcIP_Private,DstIP_Private,ProtoCategory
2023-08-10 00:00:53,111.425007,tcp,192.168.1.20,20699,->,31.13.64.35,993,CON,0,0,63,17115,15058,BENIGN,20699,993,2057,271.6666666666667,Other,True,False,TCP
2023-08-10 00:01:14,41.859687,udp,10.0.0.5,6371,->,142.250.191.14,53,UNK,0,0,157,40885,33736,BENIGN,6371,53,7149,260.4140127388535,Other,True,False,UDP
2023-08-10 00:02:30,164.541343,tcp,10.0.0.15,61509,->,31.13.64.35,995,CON,0,0,14,14389,9870,BENIGN,61509,995,4519,1027.7857142857142,Other,True,False,TCP
2023-08-10 00:03:25,3.159685,tcp,185.199.108.153,3563,->,10.0.0.10,135,CON,0,0,2,167,83,PortScan,3563,135,84,83.5,Other,False,True,TCP
2023-08-10 00:03:41,1.477796,udp,192.168.1.15,29252,->,8.8.8.8,53,UNK,0,0,2,1354,812,DNSTunneling,29252,53,542,677.0,Other,True,False,UDP
2023-08-10 00:04:42,6.708345,tcp,192.168.1.20,63316,->,8.8.8.8,25,CON,0,0,23,16476,4059,BENIGN,63316,25,12417,716.3478260869565,Other,True,False,TCP
2023-08-10 00:05:36,294.156995,tcp,10.0.0.10,64838,->,8.8.8.8,993,CON,0,0,30,19546,10478,BENIGN,64838,993,9068,651.5333333333333,Other,True,False,TCP
2023-08-10 00:05:50,2.789309,tcp,185.199.108.153,47784,->,10.0.0.15,53,CON,0,0,2,125,62,PortScan,47784,53,63,62.5,Other,False,True,TCP
2023-08-10 00:06:11,64.905527,tcp,192.168.1.15,48969,->,8.8.8.8,110,CON,0,0,19,18021,11377,BENIGN,48969,110,6644,948.4736842105264,Other,True,False,TCP
2023-08-10 00:07:05,33.669585,tcp,192.168.1.20,4774,->,142.250.191.14,993,CON,0,0,13,8635,6299,BENIGN,4774,993,2336,664.2307692307693,Other,True,False,TCP
2023-08-10 00:07:44,99.131498,tcp,192.168.1.20,11824,->,31.13.64.35,995,CON,0,0,19,18808,4359,BENIGN,11824,995,14449,989.8947368421053,Other,True,False,TCP
2023-08-10 00:11:28,76.722454,tcp,192.168.1.45,31956,->,52.84.124.12,995,CON,0,0,12,18233,4180,BENIGN,31956,995,14053,1519.4166666666667,Other,True,False,TCP
2023-08-10 00:12:06,28.336158,tcp,10.0.0.10,40985,->,74.125.224.72,80,CON,0,0,25,29218,15836,BENIGN,40985,80,13382,1168.72,Other,True,False,TCP
2023-08-10 00:12:52,119.274679,tcp,192.168.1.25,22277,->,208.67.222.222,995,CON,0,0,63,48663,22451,BENIGN,22277,995,26212,772.4285714285714,Other,True,False,TCP
2023-08-10 00:13:20,1.606423,udp,192.168.1.15,50183,->,8.8.8.8,53,UNK,0,0,3,707,424,DNSTunneling,50183,53,283,235.66666666666666,Other,True,False,UDP
2023-08-10 00:14:11,159.955357,tcp,192.168.1.45,22408,->,31.13.64.35,995,CON,0,0,66,40946,34070,BENIGN,22408,995,6876,620.3939393939394,Other,True,False,TCP
2023-08-10 00:15:42,271.852362,tcp,192.168.1.35,15745,->,74.125.224.72,995,CON,0,0,367,37811,29709,BENIGN,15745,995,8102,103.02724795640327,Other,True,False,TCP
2023-08-10 00:16:47,94.017282,tcp,10.0.0.20,55286,->,8.8.8.8,110,CON,0,0,44,47071,35599,BENIGN,55286,110,11472,1069.7954545454545,Other,True,False,TCP
2023-08-10 00:16:53,296.525955,tcp,192.168.1.35,3615,->,208.67.222.222,80,CON,0,0,12,15249,5424,BENIGN,3615,80,9825,1270.75,Other,True,False,TCP
2023-08-10 00:17:05,0.713721,udp,192.168.1.10,50845,->,8.8.8.8,53,UNK,0,0,2,468,280,DNSTunneling,50845,53,188,234.0,Other,True,False,UDP
2023-08-10 00:17:41,0.555849,tcp,203.0.113.15,9462,->,10.0.0.15,21,CON,0,0,2,64,32,PortScan,9462,21,32,32.0,Other,True,True,TCP
2023-08-10 00:20:20,51.632446,tcp,192.168.1.15,61437,->,45.67.89.123,1337,CON,0,0,2,276,103,Botnet,61437,1337,173,138.0,Botnet,True,False,TCP
2023-08-10 00:20:31,4.51635,tcp,198.51.100.42,17323,->,192.168.1.20,139,CON,0,0,2,178,89,PortScan,17323,139,89,89.0,Other,True,True,TCP
2023-08-10 00:21:07,157.67793,tcp,192.168.1.30,47329,->,52.84.124.12,993,CON,0,0,6,9446,7593,BENIGN,47329,993,1853,1574.3333333333333,Other,True,False,TCP
2023-08-10 00:22:10,221.927423,tcp,10.0.0.10,31136,->,157.240.241.35,110,CON,0,0,45,18199,15001,BENIGN,31136,110,3198,404.4222222222222,Other,True,False,TCP
2023-08-10 00:25:04,15.984518,tcp,192.168.1.10,12463,->,198.51.100.42,8080,CON,0,0,4,1724,1099,Botnet,12463,8080,625,431.0,Botnet,True,True,TCP
2023-08-10 00:26:47,196.619195,tcp,192.168.1.15,38370,->,1.1.1.1,25,CON,0,0,32,2058,480,BENIGN,38370,25,1578,64.3125,Other,True,False,TCP
2023-08-10 00:27:38,39.536605,tcp,192.168.1.20,23448,->,45.67.89.123,1337,CON,0,0,2,1386,584,Botnet,23448,1337,802,693.0,Botnet,True,False,TCP
2023-08-10 00:29:52,262.280595,tcp,10.0.0.5,51963,->,208.67.222.222,110,CON,0,0,37,10549,6546,BENIGN,51963,110,4003,285.1081081081081,Other,True,False,TCP
2023-08-10 00:30:24,114.545421,tcp,10.0.0.15,16247,->,1.1.1.1,993,CON,0,0,3,2697,758,BENIGN,16247,993,1939,899.0,Other,True,False,TCP
2023-08-10 00:30:54,221.997246,udp,172.16.1.15,13133,->,31.13.64.35,53,UNK,0,0,197,42964,5740,BENIGN,13133,53,37224,218.09137055837564,Other,True,False,UDP
2023-08-10 00:32:14,1.948275,udp,192.168.1.15,19375,->,8.8.8.8,53,UNK,0,0,2,282,169,DNSTunneling,19375,53,113,141.0,Other,True,False,UDP
2023-08-10 00:32:27,32.427877,tcp,192.168.1.10,49478,->,23.56.78.90,8080,CON,0,0,3,2860,1576,Botnet,49478,8080,1284,953.3333333333334,Botnet,True,False,TCP
2023-08-10 00:33:31,0.434871,tcp,198.51.100.42,51109,->,192.168.1.45,21,CON,0,0,2,100,50,PortScan,51109,21,50,50.0,Other,True,True,TCP
2023-08-10 00:34:28,89.241619,tcp,192.168.1.10,65331,->,52.84.124.12,80,CON,0,0,117,46833,27101,BENIGN,65331,80,19732,400.28205128205127,Other,True,False,TCP
2023-08-10 00:35:28,37.944394,tcp,192.168.1.25,9283,->,198.51.100.42,9999,CON,0,0,3,4058,2822,Botnet,9283,9999,1236,1352.6666666666667,Botnet,True,True,TCP
2023-08-10 00:35:54,256.723259,tcp,192.168.1.10,10909,->,52.84.124.12,25,CON,0,0,2,878,786,BENIGN,10909,25,92,439.0,Other,True,False,TCP
2023-08-10 00:37:40,157.619403,tcp,192.168.1.25,43970,->,142.250.191.14,25,CON,0,0,11,16388,11308,BENIGN,43970,25,5080,1489.8181818181818,Other,True,False,TCP
2023-08-10 00:39:49,2.635487,tcp,185.199.108.153,60895,->,192.168.1.45,22,CON,0,0,2,47,23,PortScan,60895,22,24,23.5,Other,False,True,TCP
2023-08-10 00:40:56,4.473364,tcp,198.51.100.42,50702,->,172.16.1.20,139,CON,0,0,2,186,93,PortScan,50702,139,93,93.0,Other,True,True,TCP
2023-08-10 00:41:30,153.757897,tcp,192.168.1.30,43557,->,208.67.222.222,25,CON,0,0,20,12566,3643,BENIGN,43557,25,8923,628.3,Other,True,False,TCP
2023-08-10 00:42:20,180.235255,tcp,10.0.0.20,9794,->,142.250.191.14,993,CON,0,0,46,46671,40156,BENIGN,9794,993,6515,1014.5869565217391,Other,True,False,TCP
2023-08-10 00:42:32,1.793812,udp,192.168.1.20,21413,->,8.8.8.8,53,UNK,0,0,2,1485,891,DNSTunneling,21413,53,594,742.5,Other,True,False,UDP
2023-08-10 00:42:40,99.470967,udp,10.0.0.10,41607,->,208.67.222.222,53,UNK,0,0,35,29133,25556,BENIGN,41607,53,3577,832.3714285714286,Other,True,False,UDP
